,stid,lat,lon,elev,NAME,STATE,id,DCP Info,Field Maint,Maint Cont
16,QNOA3,32.66778,-109.78806,1501.14,NOON CREEK,AZ,2803,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
17,QHEA3,34.39778,-110.56444,2022.3480000000002,HEBER,AZ,2805,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
18,QSLA3,32.39806,-110.725,2302.4592000000002,SCOUT CAMP,AZ,2807,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
19,TJRN5,35.00614,-106.31583,2331.7200000000003,OAK FLATS,NM,2874,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
20,QHJA3,34.61806,-111.34222,2070.5064,HAPPY JACK,AZ,3192,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
21,QMOA3,34.90972,-111.43842,2162.2512,MORMON LAKE,AZ,3194,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
22,QCAA3,31.44111,-110.28611,1645.92,CARR,AZ,3195,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
23,SFWN5,35.68686,-105.86031,2361.8952,SANTA FE WATERSHED,NM,3320,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
24,BVRN5,33.42361,-108.11,2029.6632000000002,BEAVERHEAD,NM,3428,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
25,CSMN5,32.77917,-105.82,2768.1936,COSMIC,NM,3429,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
26,MGLN5,33.85111,-107.53917,2590.8,MAGDALENA,NM,3433,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
27,QSGA3,32.31111,-110.81861,840.6384,SAGUARO,AZ,3564,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
28,QFLA3,35.14111,-111.6725,2104.0344,FLAGSTAFF,AZ,3626,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
29,QHPA3,31.67528,-110.88,2170.176,HOPKINS,AZ,3628,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
30,QISA3,34.59361,-112.51139,1641.3480000000002,IRON SPRINGS,AZ,3629,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
31,GRSN5,35.24278,-107.66528,2627.376,GRANTS,NM,3633,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
32,JESN5,35.84114,-106.61969,2513.9904,JEMEZ,NM,3634,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
33,MAYN5,32.90947,-105.46981,2011.3752000000002,MAYHILL,NM,3635,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
34,MTNN5,34.52056,-106.26167,1977.5424,MOUNTAINAIR,NM,3636,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
